"WeekEnded","DeptCd","EmplCode","EarnDeduct","EarningCd","Dept","Project","Sheet","CostCode","Hours","CheckNo","SpecialRate"
"05/17/2025",30,"0011873","E","01","30","4053",,30,8,1,
"05/17/2025",30,"0011873","E","01","30","4053",,30,8,1,
"05/17/2025",30,"0011873","E","01","30","4053",,30,8,1,
"05/17/2025",30,"0011873","E","01","30","4053",,30,8,1,
"05/17/2025",30,"0011873","E","01","30","4053",,30,8,1,
"05/17/2025",30,"0011873","D","MV","30",,,,40,1,
"05/17/2025",30,"0015920","E","01","30","4053",,30,8,1,
"05/17/2025",30,"0015920","E","01","30","4053",,30,8,1,
"05/17/2025",30,"0015920","E","01","30","4060",,30,8,1,
"05/17/2025",30,"0015920","E","01","30","4060",,30,8,1,
"05/17/2025",30,"0015920","E","01","30","4060",,30,8,1,
"05/17/2025",30,"0015920","D","MV","30",,,,40,1,
"05/17/2025",30,"0015985","E","01","30","4060",,30,8,1,
"05/17/2025",30,"0015985","E","01","30","4053",,30,8,1,
"05/17/2025",30,"0015985","E","01","30","4060",,30,8,1,
"05/17/2025",30,"0015985","E","01","30","4060",,30,8,1,
"05/17/2025",30,"0015985","E","01","30","4053",,30,8,1,
"05/17/2025",30,"0015985","D","MV","30",,,,40,1,
"05/17/2025",30,"0016119","E","01","30","4060",,30,3,1,
"05/17/2025",30,"0016119","E","01","30","4049",,30,8,1,
"05/17/2025",30,"0016119","E","01","30","4049",,30,6.5,1,
"05/17/2025",30,"0016119","E","01","30","4049",,30,5,1,
"05/17/2025",30,"0016119","E","01","30","4049",,30,6,1,
"05/17/2025",30,"0016119","E","01","30","4049",,30,3,1,
"05/17/2025",30,"0016119","E","01","30","4060",,30,1.5,1,
"05/17/2025",30,"0016119","E","01","30","4060",,30,2,1,
"05/17/2025",30,"0016119","E","01","30","4049",,30,5,1,
"05/17/2025",30,"0016119","D","MV","30",,,,40,1,
"05/17/2025",30,"0029158","E","01","30","4049",,30,4,1,
"05/17/2025",30,"0029158","E","01","30","4057",,30,4,1,
"05/17/2025",30,"0029158","E","01","30","4053",,30,3,1,
"05/17/2025",30,"0029158","E","01","30","4049",,30,5,1,
"05/17/2025",30,"0029158","D","MV","30",,,,16,1,
"05/17/2025",30,"0041380","E","01","30","4053",,40,8,1,
"05/17/2025",30,"0041380","E","01","30","4058",,40,6,1,
"05/17/2025",30,"0041380","E","01","30","4053",,40,8,1,
"05/17/2025",30,"0041380","E","01","30","4053",,40,2,1,
"05/17/2025",30,"0041380","E","01","30","4053",,40,8,1,
"05/17/2025",30,"0041380","E","01","30","4053",,40,6,1,
"05/17/2025",30,"0041380","E","01","30","4058",,40,2,1,
"05/17/2025",30,"0041380","D","MV","30",,,,40,1,
"05/17/2025",30,"0053526","E","01","30","4068",,35,8,1,
"05/17/2025",30,"0053526","E","01","30","4076",,35,3,1,
"05/17/2025",30,"0053526","E","01","30","4076",,35,4,1,
"05/17/2025",30,"0053526","E","01","30","4053",,35,6,1,
"05/17/2025",30,"0053526","E","01","30","4053",,35,4,1,
"05/17/2025",30,"0053526","E","01","30","4049",,35,4,1,
"05/17/2025",30,"0053526","E","01","30","4060",,35,3,1,
"05/17/2025",30,"0053526","E","01","30","4060",,35,4,1,
"05/17/2025",30,"0053526","E","01","30","4049",,35,2,1,
"05/17/2025",30,"0053526","E","01","30","4049",,30,2,1,
"05/17/2025",30,"0053526","D","MV","30",,,,40,1,
"05/17/2025",30,"0060739","E","01","30","4053",,35,8,1,
"05/17/2025",30,"0060739","E","01","30","4060",,35,4,1,
"05/17/2025",30,"0060739","E","01","30","4060",,35,4,1,
"05/17/2025",30,"0060739","E","01","30","4053",,35,4,1,
"05/17/2025",30,"0060739","E","01","30","4068",,35,5,1,
"05/17/2025",30,"0060739","E","01","30","4076",,35,4,1,
"05/17/2025",30,"0060739","E","01","30","4076",,35,4,1,
"05/17/2025",30,"0060739","E","01","30","4049",,35,4,1,
"05/17/2025",30,"0060739","D","MV","30",,,,37,1,
"05/17/2025",30,"0067053","E","01","30","4053",,30,4,1,
"05/17/2025",30,"0067053","E","01","30","4060",,30,2,1,
"05/17/2025",30,"0067053","E","01","30","4060",,30,4,1,
"05/17/2025",30,"0067053","E","01","30","4049",,30,2,1,
"05/17/2025",30,"0067053","E","01","30","4049",,30,3,1,
"05/17/2025",30,"0067053","E","01","30","4058",,30,3,1,
"05/17/2025",30,"0067053","E","01","30","4049",,30,2,1,
"05/17/2025",30,"0067053","E","01","30","4053",,30,4,1,
"05/17/2025",30,"0067053","E","01","30","4057",,30,2,1,
"05/17/2025",30,"0067053","E","01","30","4053",,30,3,1,
"05/17/2025",30,"0067053","E","01","30","4038",,30,3,1,
"05/17/2025",30,"0067053","D","MV","30",,,,32,1,
"05/17/2025",30,"0067433","E","01","30","4074",,30,1,1,
"05/17/2025",30,"0067433","E","01","30","4060",,30,2,1,
"05/17/2025",30,"0067433","E","01","30","4060",,30,5,1,
"05/17/2025",30,"0067433","E","01","30","4060",,30,2,1,
"05/17/2025",30,"0067433","E","01","30","4060",,30,1,1,
"05/17/2025",30,"0067433","E","01","30","4053",,30,5,1,
"05/17/2025",30,"0067433","E","01","30","4060",,30,3,1,
"05/17/2025",30,"0067433","E","01","30","4049",,30,1,1,
"05/17/2025",30,"0067433","E","01","30","4038",,30,2,1,
"05/17/2025",30,"0067433","E","01","30","4053",,30,2,1,
"05/17/2025",30,"0067433","E","01","30","4049",,30,0.5,1,
"05/17/2025",30,"0067433","E","01","30","4049",,30,2,1,
"05/17/2025",30,"0067433","E","01","30","4053",,30,4,1,
"05/17/2025",30,"0067433","E","01","30","4053",,30,3,1,
"05/17/2025",30,"0067433","E","01","30","4053",,30,3,1,
"05/17/2025",30,"0067433","E","01","30","4069",,30,1,1,
"05/17/2025",30,"0067433","E","01","30","4049",,30,2,1,
"05/17/2025",30,"0067433","E","01","30","4074",,30,0.5,1,
"05/17/2025",30,"0067433","D","MV","30",,,,40,1,
"05/17/2025",30,"0067813","E","01","30","4060",,30,8,1,
"05/17/2025",30,"0067813","E","01","30","4060",,30,8,1,
"05/17/2025",30,"0067813","D","MV","30",,,,16,1,
"05/17/2025",30,"0069139","E","01","30","4049",,30,0.5,1,
"05/17/2025",30,"0069139","E","01","30","4049",,30,2,1,
"05/17/2025",30,"0069139","E","01","30","4049",,30,3,1,
"05/17/2025",30,"0069139","E","01","30","4060",,30,8,1,
"05/17/2025",30,"0069139","E","01","30","4066",,30,1.5,1,
"05/17/2025",30,"0069139","E","01","30","4060",,30,6,1,
"05/17/2025",30,"0069139","E","01","30","4053",,30,2,1,
"05/17/2025",30,"0069139","E","01","30","4060",,30,3,1,
"05/17/2025",30,"0069139","E","01","30","4060",,30,2,1,
"05/17/2025",30,"0069139","E","01","30","4060",,30,4,1,
"05/17/2025",30,"0069139","E","01","30","4049",,30,8,1,
"05/17/2025",30,"0069139","D","MV","30",,,,40,1,
"05/17/2025",30,"0083798","E","01","30","4060",,30,8,1,
"05/17/2025",30,"0083798","E","01","30","4060",,30,8,1,
"05/17/2025",30,"0083798","E","01","30","4060",,30,8,1,
"05/17/2025",30,"0083798","E","01","30","4060",,30,8,1,
"05/17/2025",30,"0083798","E","01","30","4060",,30,8,1,
"05/17/2025",30,"0083798","D","MV","30",,,,40,1,
"05/17/2025",30,"0084311","E","01","30","4053",,30,8,1,
"05/17/2025",30,"0084311","E","01","30","4053",,30,8,1,
"05/17/2025",30,"0084311","E","01","30","4053",,30,8,1,
"05/17/2025",30,"0084311","E","01","30","4053",,30,8,1,
"05/17/2025",30,"0084311","E","01","30","4053",,30,8,1,
"05/17/2025",30,"0084311","D","MV","30",,,,40,1,
"05/17/2025",30,"0086872","E","01","30","4057",,30,2,1,
"05/17/2025",30,"0086872","E","01","30","4060",,30,6,1,
"05/17/2025",30,"0086872","E","01","30","4057",,30,8,1,
"05/17/2025",30,"0086872","E","01","30","4057",,30,4,1,
"05/17/2025",30,"0086872","E","01","30","4058",,30,4,1,
"05/17/2025",30,"0086872","E","01","30","4058",,30,8,1,
"05/17/2025",30,"0086872","D","MV","30",,,,32,1,
"05/17/2025",30,"0090115","E","01","30","4060",,30,4,1,
